,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,1205.92797621,1116.23075754,1187.49987176,990.77642369,1094.8122658700001,1690.8198860799998,1623.0963319799998,1756.1702463000001,1724.0002118500001,2716.70681862,3520.26349279,3999.8069702899998,3809.1002400899997,4820.21806719,4056.57067709,3354.6652128,2150.41059044
Diabetes,2.09,3.78,4.03,8.4647002115,8.75,21.407726533,20.8957053257,53.9536934083,52.979873539,205.515017193,267.398167962,460.91825033,438.766495074,546.4756604009999,455.45795438299996,314.789718559,193.403139473
Thyroid Disease,5.22,2.84,3.02,8.41,9.3,36.3888632665,34.8914263314,42.93,41.79,68.95,89.7090139968,85.2645803689,81.1638331841,90.30989151,75.23579071632001,50.0839008069,30.717798624390003
Other Metabolic Disorders,3.818451284,5.4558210478,7.41082799,8.009400423,8.720035966,24.5288632665,23.5114263314,79.3127700562,76.9642495825,252.58300343850001,327.6335209952,579.3437411067,551.7791659203,706.6793490602,588.8205350141999,326.5156032276,200.5623889951
Dementia,0.0,0.47,0.5,0.49,0.55,1.13,1.08,2.04,1.99,2.7915017193000002,3.8980279936,8.115803689,8.740496865,28.355226442,25.578513008,74.272098011,47.43419641
Parkinson's Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715017193,0.2490139968,0.4337411067,0.7968322884000001,1.6784811400000001,2.402140057,2.878016138,1.577354605
Depression,8.432772659,17.955673622,25.725795930000004,59.68920761,66.04739798,142.69405318,140.17255474,159.29958304000002,157.9193343,196.86546420000002,251.36814928,239.86214755999998,219.7639391,263.92985870999996,206.45665627,156.4293702,92.88307069300001
Eye Diseases,7.5294837613,8.7658210478,9.353609330000001,17.8647002115,19.4966786554,20.018863266500002,19.392852662899998,32.6018467042,31.6942495825,74.5330034385,97.1215489888,310.50122332,295.765998209,844.8377217110001,703.984767908,778.59071049,478.053771112
Ear Diseases,122.3094837613,71.21582104779999,74.99,15.34,17.3066786554,22.2788632665,21.341426331399997,21.150923352099998,20.577124791299997,42.2430034385,54.723520995200005,98.8837411067,94.0814995522,172.6896745301,144.01895358160002,187.4958512104,115.06779862439
Hypertension,4.17,4.26,4.53,9.4,10.39,23.71,22.76,111.93,109.1271247913,537.3915017193,697.2290139968001,1189.0137411066999,1132.2691659203,1643.0692405702,1369.455279312,1093.3631568590001,671.97496561
Stroke,2.09,0.95,1.01,1.48,1.64,3.95,4.4242789943,10.71461676,11.044123120999998,42.270034385,57.237884912,145.10726878000003,141.43148164000002,286.2494954,242.36453982,252.62703798,158.78706076
