,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
Heart Disease,1.04,0.95,1.01,2.47,2.73,3.39,3.25,16.36,16.2742495825,63.869010316,83.273097978,191.21618774700002,182.48116233800002,357.745443421,298.35111724899997,318.9331234,195.61433397099998
Other Cardiovascular Diseases,26.778451284,17.061642096,18.19721866,13.959400423,15.290035966000001,14.8865897995,14.3957053257,25.02461676,24.2656239563,60.379010316,78.867604976,138.048705534,132.225829602,248.34631134100002,207.562163667,229.200925014,141.375903707
Acute Nasopharyngitis,338.514321375,75.251642096,79.30360933,29.7347002115,33.330035966,47.937726533,46.1542789943,43.640923352099996,42.4671247913,44.08,57.19,55.524580368900004,52.9576663681,63.5897830201,53.037372149,45.0397520173,27.631194497600003
Allergic Rhinitis,72.0,184.97,196.78,75.21,83.11,88.63,85.08,108.86,105.97,113.9,147.78,144.09,137.19,124.55,103.78,50.6,31.08
Asthma,135.127094033,151.835673622,157.04526531000002,48.644100635,52.6533573108,65.997726533,63.2828526629,61.5309233521,60.054249582500006,63.6230034385,82.3490139968,86.0637411067,81.98533273620001,133.73945755019997,111.7021164469,101.991454438,62.6279862439
Other Respiratory Diseases,70.329675227,36.086568383,34.59082799,18.108201269,19.253429243,31.938632665,30.082836983,32.586463465,31.589873539000003,39.073515473,50.931125971,77.020768116,73.601162338,133.705117952,113.258513008,127.013337925,78.639862439
Stomach and Duodenal Diseases,2.09,3.78,4.03,17.32,19.14,62.9188632665,60.784278994299996,101.2927700562,98.54137437380001,206.67600687700002,268.485069984,286.91122332000003,272.8506654725,396.19902359,330.42107002800003,260.577305648,160.0891807415
Liver and Gallbladder Diseases,2.09,1.42,1.51,5.44,6.366678655399999,16.534316332,15.898557989,41.786463465000004,41.248372704,81.90552922699999,105.966195955,164.02825033,155.97266189,233.61555191099998,194.334791518,119.632164928,73.13056285900001
Dental Diseases,111.05896752269999,276.75,294.42,227.62,251.8766786554,478.3888632665,458.98,459.99,447.74,595.7,772.85,770.17,733.31,655.5,546.17,239.85,147.31
Other Digestive Diseases,15.044321374999999,13.089105239,14.83165598,21.277002115000002,22.13682252,33.802948997,31.891394972,48.812926929,47.249747078000006,67.945529227,87.597181959,107.11825033,102.000328258,170.92544342099998,142.337954383,135.89337138300002,83.223139473
Skin Disease,316.61896752269996,192.7958210478,205.12360933000002,194.5147002115,215.0533573108,224.057726533,215.2242789943,137.8818467042,134.1842495825,149.7645051578,194.26253499199998,182.3774822135,173.74066547249998,202.92902359,169.219488596,148.197305648,90.93578486829999
Arthritis,0.0,2.6258210477999997,2.02,3.46,3.83,18.06,17.34,47.2209233521,45.9471247913,101.5930034385,131.85802799360002,160.7029018446,153.35449865700002,199.11858963,165.98265146100002,128.713156859,78.9691807415
Arthropathy,3.13,10.88,11.58,18.8,20.78,26.7888632665,25.681426331399997,52.3309233521,51.094249582500005,112.846006877,146.38154898879998,211.242062582,201.194498657,413.688264161,345.14897719199996,344.23071049000004,211.1303752391
Other musculoskeletal Pain,5.22,21.29,22.64,111.3847002115,123.1933573108,295.394316332,284.011410651,373.368310169,363.45124791300003,572.276518912,742.37563297,861.107027009,820.125829602,1198.277070771,998.9800472200001,876.1260657349999,538.100750478
Bone Density Abnormalities,1.04,0.95,1.01,0.49,0.55,2.26,2.17,2.56,2.49,16.58,21.52,85.63,81.53,258.9997830201,215.867372149,301.3197520173,185.1367917464
Kidney Diseases,10.078451284,9.2458210478,10.64721866,14.949400423,16.0233573108,20.484316332000002,19.2657053257,34.533693408299996,33.892748747999995,51.808020631,67.538167962,91.52534848500001,87.726495074,109.665009462,91.498489398,82.3731234,50.467729844000004
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,1.13,1.08,2.56,2.49,13.09,16.99,68.3445803689,65.15766636810001,179.9094575502,150.0005350142,150.3236528242,92.25899312199999
Fractures,7.5294837613,27.503284191000002,29.34443732,30.241702327,32.140179831,24.202948997,22.681394972,22.341080225,21.879747077999998,29.878532666,38.399716951,54.204054019,51.274826915000006,87.124033052,73.79167587299999,83.787238731,52.76464043
Other Injuries,24.9179350453,54.687463144,59.03443732,68.485802961,72.600179831,52.898402063,49.654247634,45.742926929,44.269747078,48.477030947,62.366195955,53.932830698000004,50.888828706,59.735985871,49.415837936,41.059966542,25.082951854
Anemia and Blood Disorders,7.988451284,5.231642096,4.82360933,14.8947002115,16.2166786554,22.2788632665,21.552852662899998,45.6909233521,44.457124791300004,55.1615017193,71.5890139968,49.5191607378,47.0976663681,73.4895660401,61.3447442979,72.8556032276,44.7345903707
Cancer,1.7284512840000001,2.401642096,3.39082799,4.158800846,2.9033573108,6.9865897995,7.862836982999999,23.052003577,24.15099499,52.936075647,71.95323483,79.45796575,76.91714263,84.70775956,70.77556263,49.58227908,27.573633551
Pregnancy and Childbirth,0.0,0.0,0.0,25.483501058,36.207038319999995,156.80133479,149.32266449999997,30.140470619000002,23.7656239563,0.44,0.57,0.0,0.0,0.0,0.0,0.0,0.0
Other Conditions,192.19321374999998,171.01149467,181.42692129000002,126.231702327,140.716930419,199.653624528,189.61993728,198.90862391500002,192.863743738,269.483072209,346.50534991999996,210.22069697,200.991490596,159.91229721300002,133.528001604,130.087486714,79.51269545400001
Care Recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8,64.8,64.8,64.8,64.8,223.0,324.0,460.0,533.0
Cumulative births,5933.7,6029.2,6352.3,7328.4,8212.7,9894.7,9632.5,8179.6,8041.7,9038.8,12532.3,10335.5,10403.8,10640.5,10461.5,10201.6,9399.5
Alive,5844.0,5952.0,6332.0,7276.0,8040.0,9512.0,9131.0,7852.0,7643.0,8437.0,10946.0,8275.0,7879.0,7249.0,6040.0,4414.0,2711.0
