,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
SUM,1163.04963475,1312.2450668000001,1047.0298414,903.55461891,1065.98764398,1548.7427043300002,1866.2499583899998,1758.68370764,1915.2314298400001,2246.16425626,3363.47372481,4314.085327510001,4637.27411901,4741.84040575,4882.0070344,4175.3217444,2821.7029718999997
Diabetes,1.08,1.0,2.01,7.15,5.1782948918,15.1093307734,29.1941300471,47.1063814614,77.713628564,150.75327777,326.552839344,502.568122027,575.693066948,663.6478646290001,598.711901675,473.76686917300003,268.515121171
Thyroid Disease,3.23,3.98,3.01,12.26,15.53,26.53,45.62,49.41,48.7,59.29,89.61,117.04,110.6543952481,91.90305826970001,106.1057595637,79.3755651987,35.8077409803
Other Metabolic Disorders,1.6090872197000001,3.7148517433,5.543934588,5.217347561,9.9482948918,18.4096653867,37.858043349,60.844786096,122.9001771386,176.58163888500002,376.017407377,573.2616244055,711.0119762406,687.5483496179,606.32607651,411.380608593,216.74289176300002
Dementia,0.0,0.0,0.0,0.0,1.19,1.21,1.14,0.0,0.0,1.02,3.6032098361,7.493248810999999,16.092300211,27.157622134,41.97380335,82.17512911,109.96337645
Parkinson's Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879097213,0.145802459,0.3669746433,0.8663714887999999,1.8597575050000001,3.66550822,5.1568691730000005,5.10963921
Depression,4.795436098,15.12792441,25.91328047,52.93756098,94.37303948,170.93256171000002,208.23954868,204.90249552999998,200.30770831,213.187597,244.78826802999998,274.6694453,286.69600421,279.44379285,276.57122431,219.76878066999998,144.42343567
Eye Diseases,3.23,7.694851743299999,10.04,11.8086737806,8.758294891799999,14.789665386700001,21.898043349,24.093190730699998,30.4634514257,43.3158194425,107.45901229510001,217.41092393,399.428347729,596.2389323140001,839.662469965,851.663999785,570.979337645
Ear Diseases,141.3845436098,108.27485174329999,32.14,14.8686737806,11.148294891799999,14.789665386700001,21.898043349,18.4915953653,25.0767257129,23.6979097213,47.611604918,73.5169746433,118.9831857444,140.52917480899998,187.8872786911,187.3983477981,141.8654819605
Hypertension,2.15,0.0,1.0,2.04,4.78,10.85,31.93,70.89,162.69,344.6979097213,740.2158024590001,1300.3369746433,1506.4031857444,1637.3822330786,1728.0303169459,1451.606173792,911.580301566
Stroke,0.0,1.0,0.0,1.02,1.5882948918,2.7296653867000003,4.1041300471,6.991167557,13.467257129,27.456104146,68.553703279,109.11691442,176.92303453,222.09048854,284.11932263,281.96008356,226.53961504
Heart Disease,2.15,0.0,1.0,0.0,1.19,2.41,6.84,8.8215953653,15.1301771386,29.5595486063,80.289629508,149.908822503,251.18306694799998,313.960097707,394.726459057,393.030260365,269.15382607199996
Other Cardiovascular Diseases,23.4136308295,15.6648517433,19.846967293899997,15.437347561000001,12.348294891799998,17.5193307734,19.162173396100002,21.104786096,35.026902851500004,50.197458328,88.766419672,147.329522979,195.21109070699998,214.727864629,279.586459057,296.089216756,206.21379646
Acute Nasopharyngitis,280.034523318,110.989703487,38.17,24.0686737806,21.8982948918,26.8496653867,48.3560866981,39.971595365300004,33.16,22.49,41.28,44.93,52.24,50.4630582697,50.337278691099996,43.651130397399996,29.628704901299997
Allergic Rhinitis,88.34,246.96,210.93,89.9,72.87,84.42,100.36,103.11,95.33,109.38,137.94,156.75,153.71,140.1,118.2,90.43,47.95
Asthma,156.110872197,204.41851743299998,138.43483647,42.4586737806,48.1782948918,69.3793307734,64.098043349,67.9015953653,64.4567257129,55.387909721300005,72.645802459,93.2446497622,112.9531857444,126.8622330786,130.0787978185,129.3194781955,83.659668822
Other Respiratory Diseases,56.714503027,46.16911046,21.380901882,11.464695122,15.928064242000001,21.537657707,36.034346792,27.169572192,21.13707999,32.17327777,40.873827049000006,64.218822503,83.99064794,100.442330786,133.06468858600002,148.00330333,116.57310448999999
Stomach and Duodenal Diseases,3.23,0.0,2.01,10.22,22.7,42.21,52.46,64.9031907307,99.89345142570001,119.34163888500001,195.2048147541,271.6285990487,289.34076673699997,319.681407888,349.69183607300005,308.743391192,175.482891763
Liver and Gallbladder Diseases,2.15,0.0,0.7669672939,2.04,5.1782948918,11.489330773399999,18.250216745,26.937976827,42.063805703,55.414916655,95.25444426199999,134.97277178899998,170.66867169900001,198.947864629,222.18886342,160.86573877499998,68.502229408
Dental Diseases,122.81,391.35,225.0,186.96,242.8982948918,434.4696653867,499.758043349,469.36,491.17,509.1,747.12,903.92,935.33,794.23,626.64,383.31,186.21
Other Digestive Diseases,17.725436098,10.869406973,13.87483647,17.260716463999998,25.084654026,34.305650027,38.542606887,46.202335115000004,47.660885693000004,52.720736097,82.45604918000001,96.669746433,109.82185744399999,104.800097707,136.73101644000002,143.801390762,106.99253097399999
Skin Disease,311.8590872197,224.7848517433,171.76,190.5986737806,256.4365897835,263.53933077339997,226.49413004710001,169.314786096,138.2334514257,129.3637291638,170.7532098361,173.2762741676,197.920766737,186.92058269700001,185.17487432800002,156.11452158999998,102.26611470399999
Arthritis,0.0,1.0,1.0,1.02,7.16,13.27,31.93,45.11,67.36,88.1079097213,161.537407377,192.8916244055,219.020766737,230.18752442699997,217.910633892,186.82173899000003,110.07611470399999
Arthropathy,2.15,3.98,22.1,15.32,19.11,22.91,31.93,46.4115953653,62.376725712900004,90.5237291638,153.77901229510002,226.5762741676,262.50955723299995,339.146699236,456.542469965,409.11234758300003,297.917078625
Other musculoskeletal Pain,1.08,2.0,28.130000000000003,69.0186737806,151.3165897835,262.6489961601,375.67630344300005,393.65116755699995,439.98380570300003,489.321187491,757.9296295080001,892.664172741,1015.7223002110001,1136.2264567409998,1293.691584729,1151.771303974,716.5096392099999
Bone Density Abnormalities,1.08,0.0,0.0,0.0,0.0,1.21,1.14,4.3,4.14,4.09,25.315802459,55.38,121.7043952481,186.6130582697,291.5457595637,318.03113039740003,268.2487049013
Kidney Diseases,8.0690872197,6.694851743299999,11.573934588,14.3,14.738294891799999,15.1093307734,24.862173396099998,24.093190730699998,30.876902851500002,34.025368049,66.627036885,76.45277178900001,94.607462196,104.668447325,107.045256876,88.79252116,71.22445881600001
Benign Prostatic Hyperplasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.11,7.16,19.13,41.922324881099996,104.7687904963,162.3822330786,241.2845573822,226.6939129968,135.430963921
