start,end,Healthy ,Care ,Death 
0,4,0.785464778,0.202291325,0.012243897
5,9,0.767125934,0.219951051,0.012923015
10,14,0.817043189,0.172196222,0.010760589
15,19,0.860227609,0.13441847,0.005353921
20,24,0.845123932,0.139889197,0.014986871
25,29,0.79162365,0.175189994,0.033186356
30,34,0.768606918,0.184852646,0.046540435
35,39,0.758200027,0.198006545,0.043793428
40,44,0.715450902,0.2338415,0.050707598
45,49,0.668729981,0.272519,0.058751019
50,54,0.579219401,0.332425198,0.088355401
55,59,0.452502837,0.370570921,0.176926241
60,64,0.356401959,0.416124803,0.227473238
65,69,0.249450261,0.460225211,0.290324528
70,74,0.14825806,0.463378816,0.388363124
75,79,0.086646943,0.399013043,0.514340014
80,84,0.039919789,0.281394316,0.678685895
