start,end,Healthy ,Care ,Death 
0,4,0.781650972,0.203233645,0.015115384
5,9,0.802055021,0.18513768,0.012807299
10,14,0.809864581,0.186940354,0.003195065
15,19,0.857655047,0.135197126,0.007147826
20,24,0.845667989,0.133307537,0.021024474
25,29,0.790440504,0.170881156,0.03867834
30,34,0.779433733,0.16850166,0.052064607
35,39,0.745250939,0.21470184,0.04004722
40,44,0.736039862,0.214383078,0.04957706
45,49,0.632863413,0.300561909,0.066574678
50,54,0.592530083,0.280896476,0.126573441
55,59,0.413642292,0.386998336,0.199359371
60,64,0.391194648,0.366126395,0.242678958
65,69,0.228259708,0.453008408,0.318731885
70,74,0.18959286,0.387762204,0.422644936
75,79,0.10383964,0.328836442,0.567323918
80,84,0.05963982,0.228778857,0.711581324
