start,end,Healthy ,Care ,Death 
0,4,0.840142498,0.145482025,0.014375477
5,9,0.808848248,0.169627594,0.021524158
10,14,0.818262395,0.165420456,0.016317149
15,19,0.859897727,0.134293836,0.005808437
20,24,0.846717139,0.146729166,0.006553695
25,29,0.785148013,0.190112121,0.024739866
30,34,0.765416588,0.206765902,0.027817511
35,39,0.733659654,0.234424792,0.031915554
40,44,0.701878366,0.267876328,0.030245306
45,49,0.641440612,0.317268626,0.041290762
50,54,0.559619561,0.391858332,0.048522107
55,59,0.468837701,0.461774091,0.069388208
60,64,0.383958717,0.520043108,0.095998175
65,69,0.291697122,0.561931933,0.146370945
70,74,0.193564814,0.546016178,0.260419008
75,79,0.1243363,0.52022866,0.355435041
80,84,0.073136532,0.44067938,0.486184088
