start,end,Healthy ,Care ,Death 
0,4,0.821027191,0.149761873,0.029210936
5,9,0.797901869,0.180114264,0.021983867
10,14,0.818180564,0.16912143,0.012698006
15,19,0.869749462,0.131313957,0
20,24,0.83731881,0.142576096,0.020105095
25,29,0.781806568,0.185875039,0.032318393
30,34,0.766040242,0.195700017,0.038259741
35,39,0.74336156,0.223315891,0.033322549
40,44,0.708647553,0.257525183,0.033827264
45,49,0.644368797,0.303981857,0.051649346
50,54,0.568061382,0.383944769,0.047993849
55,59,0.476425543,0.451614023,0.071960434
60,64,0.389500423,0.505866548,0.104633029
65,69,0.278383836,0.536793007,0.184823156
70,74,0.175330736,0.537166858,0.287502406
75,79,0.117466501,0.506825943,0.375707555
80,84,0.062734787,0.422489007,0.514776206
