start,end,Healthy ,Care ,Death 
0,4,0.8277730402761163,0.15868934172388366,0.013537618000000029
5,9,0.8116804915070814,0.16903082099787475,0.01928868749504381
10,14,0.8228956897143933,0.1611309374358965,0.015973372849710205
15,19,0.8491562302601918,0.13937689016573948,0.011466879574068695
20,24,0.8302063524619794,0.15747142323834573,0.012322224299674889
25,29,0.7863575839566802,0.18340409970880459,0.03023831633451521
30,34,0.7530175933813387,0.2069028302382213,0.04007957638044002
35,39,0.7339939375768648,0.22827632542822107,0.03772973699491411
40,44,0.702454179423003,0.2566945713271355,0.04085124924986144
45,49,0.657756194468184,0.2963850831139886,0.0458587224178274
50,54,0.588339315904781,0.35887118986883404,0.052789494226385014
55,59,0.47191174031755695,0.4525424079961313,0.07554585168631167
60,64,0.37732460593732015,0.5093959084534443,0.11327948560923562
65,69,0.28385257766770255,0.5327177292347027,0.18342969309759471
70,74,0.20059555615032315,0.5375105388846197,0.26189390496505704
