start,end,Healthy ,Care ,Death 
0,4,0.7855797427409594,0.19930487425904048,0.015115383000000093
5,9,0.7979518978329724,0.1882084925492792,0.01383960961774841
10,14,0.8092234091650267,0.18303036580324655,0.007746225031726783
15,19,0.8416291558230167,0.15178274479059012,0.006588099386393209
20,24,0.8301212143309993,0.15511734621779988,0.014761439451200842
25,29,0.7939612655813242,0.17627087644370812,0.0297678579749677
30,34,0.7707428746272007,0.18570995224678938,0.04354717312600992
35,39,0.744984624215362,0.21142659961715546,0.043588776167482496
40,44,0.7263436715483531,0.22724168755486832,0.046414640896778575
45,49,0.6620160405189159,0.2796495752387936,0.05833438424229048
50,54,0.6026974951127836,0.29589514769553743,0.10140735719167898
55,59,0.44576596609383895,0.3938094339050965,0.16042460000106462
60,64,0.35575784292062385,0.4256151489751965,0.21862700810417968
65,69,0.25134574833574586,0.4607021944296792,0.28795205723457495
70,74,0.1859029963267662,0.4391730207666217,0.3749239829066121
