start,end,Healthy ,Care ,Death 
0,4,0.8284379571894152,0.1423511068105848,0.02921093600000005
5,9,0.8171748904041295,0.15766367277813972,0.02516143681773078
10,14,0.8213342590179337,0.16095844677673363,0.017707294205332708
15,19,0.8551951129962521,0.13858237560374775,0.006222511400000186
20,24,0.8234774569716621,0.1640298927970936,0.012492650231244323
25,29,0.7801439224955085,0.19517309057995078,0.024682986924540767
30,34,0.7498833003669464,0.2161440647784558,0.03397263485459781
35,39,0.7273194881127119,0.23818378859829895,0.0344967232889892
40,44,0.6983217066201417,0.26768794228189324,0.033990351097965055
45,49,0.6527473466858397,0.30384499943799725,0.04340765387616308
50,54,0.5911684137510546,0.3614849520823981,0.04734663416654733
55,59,0.4704525615024331,0.4606145479654284,0.06893289053213852
60,64,0.37960574449047646,0.5215218465676632,0.09887240894186033
65,69,0.2846672506933159,0.5529828070949865,0.16234994221169763
70,74,0.2089220967667855,0.554421854294823,0.23665604893839143
