start,end,Healthy ,Care ,Death 
0,4,0.7892978604596288,0.19238738554037121,0.01831475399999999
5,9,0.7815878140813178,0.2034712427731909,0.01494094314549127
10,14,0.7964745812277384,0.19032118098104167,0.01320423779121993
15,19,0.8306453996663452,0.16250121303076034,0.006853387302894448
20,24,0.8138442110353964,0.17315192295078682,0.013003866013816784
25,29,0.771810611017291,0.1919762900940156,0.036213098888693424
30,34,0.7432985697644121,0.2112512596655411,0.0454501705700468
35,39,0.7209061118849007,0.2297752996996231,0.04931858841547618
40,44,0.6920744346176114,0.2574871185379859,0.050438446844402685
45,49,0.6512150706328822,0.2938964078693804,0.054888521497737375
50,54,0.5930857913798459,0.34057021951369965,0.0663439891064545
55,59,0.44886021555479355,0.44720684445794506,0.10393293998726133
60,64,0.3509321099224688,0.48137092933571457,0.16769696074181661
65,69,0.26380814744401987,0.5106575068210781,0.22553434573490194
70,74,0.18252043991369388,0.5149432256516429,0.3025363344346632
