start,end,Healthy ,Care ,Death 
0,4,0.8023403107724241,0.18541579222757607,0.012243896999999865
5,9,0.7964245687789047,0.19095388715459474,0.012621544066500595
10,14,0.8196643114543244,0.16869383355529527,0.01164185499038034
15,19,0.8600872315660851,0.1319908322590679,0.00792193617484696
20,24,0.8342887074103797,0.15420857899070517,0.011502713598915082
25,29,0.795101236636504,0.1803438071658405,0.024554956197655492
30,34,0.7635124626684182,0.19768227618369455,0.03880526114788724
35,39,0.746693427587947,0.21026482371258032,0.04304174869947269
40,44,0.7175411327888457,0.2349547484893168,0.04750411872183752
45,49,0.6766739987249939,0.26900191138931384,0.05432408988569226
50,54,0.605714702233253,0.31918051082135773,0.0751047869453893
55,59,0.46347745083587644,0.3959907036604384,0.14053184550368514
60,64,0.36747761651588995,0.43474524436066075,0.1977771391234493
65,69,0.2757763881815171,0.4670261164044787,0.2571974954140041
70,74,0.1845017951659382,0.47643341374103154,0.3390647910930302
